Dataset,Model,Attention,Attention_Method,Incerteza,Sampling Mode,_gamma_2,_gamma_3,_batch_size,_latent_dims,Loss Function,loss - mean,loss - std,Accuracy Score - mean,Accuracy Score - std,Balanced Accuracy Score - mean,Balanced Accuracy Score - std,Precision Score - mean,Precision Score - std,Recall Score - mean,Recall Score - std,F1 Score - mean,F1 Score - std
CandNC-ALL,E_MLP-IR_CNN-1D_SNV,False,Luong,False,None,0.03781041679883515,68.9919239415668,30,58,cross_entropy_loss,775.649667704474,24.30248332217337,0.845360824742268,0.024396205291132414,0.8316681534344335,0.028011059845359954,0.8445442087844338,0.02468269368982242,0.845360824742268,0.024396205291132414,0.8441864172234889,0.025007494657784516
CandNC-ALL,E_MLP-IR_CNN-1D_SNV,False,Luong,False,None,0.03781041679883515,68.9919239415668,30,58,cross_entropy_loss,797.6540711707676,19.012505387508355,0.8206185567010309,0.019120862877310737,0.8019625334522746,0.021842283328451107,0.8206020397698639,0.020276950858213464,0.8206185567010309,0.019120862877310737,0.8182703182451625,0.019632525993447968
CandNC-ALL,E_MLP-IR_CNN-1D_SNV,True,Luong,False,None,0.03781041679883515,68.9919239415668,30,58,cross_entropy_loss,767.1366426133618,19.884503438131098,0.8350515463917525,0.00922089887628781,0.8222569134701161,0.011463066258605194,0.8345408860621506,0.009670896042464539,0.8350515463917525,0.00922089887628781,0.834120424489111,0.009462572150647601
CandNC-ALL,E_MLP-IR_CNN-1D_SNV,False,Luong,True,None,0.03781041679883515,68.9919239415668,30,58,cross_entropy_loss,781.6450720718227,23.740991692888674,0.8391752577319588,0.01542951499700597,0.8303300624442462,0.023898403314441166,0.8407374939845116,0.017695215327935068,0.8391752577319588,0.01542951499700597,0.8386265103872075,0.016636708503542808
CandNC-ALL,E_MLP-IR_CNN-1D_SNV,True,Luong,True,None,0.03781041679883515,68.9919239415668,30,58,cross_entropy_loss,812.4685708586702,25.726774181538204,0.8123711340206186,0.012022581226485148,0.7942462087421944,0.016438260076423815,0.8118604961412323,0.011683613537425688,0.8123711340206186,0.012022581226485148,0.8101277152928091,0.013219362539587358
CandNC-ALL,E_MLP-IR_CNN-1D_SNV,False,Luong,False,None,0.03781041679883515,68.9919239415668,30,58,focal_loss,71.78646629569457,1.9641217819548868,0.8288659793814434,0.012371134020618565,0.8152988403211419,0.016358675418692875,0.8280414511252874,0.01272733849495651,0.8288659793814434,0.012371134020618565,0.8277738273435616,0.01317481132200234
CandNC-ALL,E_MLP-IR_CNN-1D_SNV,True,Luong,False,None,0.03781041679883515,68.9919239415668,30,58,focal_loss,71.02959451577098,4.24464788793126,0.8309278350515463,0.026565152013866253,0.816057091882248,0.029973570046164157,0.8300870005898029,0.026821416486222223,0.8309278350515463,0.026565152013866253,0.8295115284949499,0.027368928357280733
CandNC-ALL,E_MLP-IR_CNN-1D_SNV,False,Luong,True,None,0.03781041679883515,68.9919239415668,30,58,focal_loss,72.72733790604109,2.7720197699448206,0.820618556701031,0.013984185532217043,0.8066458519179305,0.014695328732859567,0.8201683208276158,0.014675094372531828,0.820618556701031,0.013984185532217043,0.8195005551007413,0.01385754108610066
CandNC-ALL,E_MLP-IR_CNN-1D_SNV,True,Luong,True,None,0.03781041679883515,68.9919239415668,30,58,focal_loss,75.61505299204404,3.7555867652041783,0.8185567010309278,0.012371134020618558,0.8040142729705619,0.015289409659681376,0.8176601636924306,0.012874011883667272,0.8185567010309278,0.012371134020618558,0.8173079165652014,0.012939548346818758
CandNC-ALL,E_MLP-IR_CNN-1D_SNV,False,Luong,False,None,0.03781041679883515,68.9919239415668,30,58,adaptative_focal_loss,81.45548031207213,4.0093726495251065,0.8412371134020619,0.013984185532217065,0.8320249776984836,0.017407415813494097,0.8412851536481323,0.014544347210798595,0.8412371134020619,0.013984185532217065,0.8409033112119136,0.014395737561283432
CandNC-ALL,E_MLP-IR_CNN-1D_SNV,True,Luong,False,None,0.03781041679883515,68.9919239415668,30,58,adaptative_focal_loss,81.63221681732492,3.9306147061050196,0.8391752577319588,0.00824742268041238,0.8265834076717218,0.012553673992686736,0.8387757897319903,0.008468946104445103,0.8391752577319588,0.00824742268041238,0.8382229082507854,0.009069140243219977
CandNC-ALL,E_MLP-IR_CNN-1D_SNV,False,Luong,True,None,0.03781041679883515,68.9919239415668,30,58,adaptative_focal_loss,83.35432470262666,6.047860808870527,0.8536082474226804,0.012022581226485154,0.8496877787689563,0.013910855830068508,0.8551128366922814,0.012321651975496868,0.8536082474226804,0.012022581226485154,0.8540096465945405,0.012125866691293263
CandNC-ALL,E_MLP-IR_CNN-1D_SNV,True,Luong,True,None,0.03781041679883515,68.9919239415668,30,58,adaptative_focal_loss,92.06630890836422,8.696090227594238,0.843298969072165,0.007714757498502944,0.8299732381801963,0.01304408055427199,0.8430829096611389,0.00765859888893183,0.843298969072165,0.007714757498502944,0.8421552238065363,0.008751587835524682
CandNC-ALL,E_MLP-IR_CNN-1D_SNV,True,Bahdanau,False,None,0.03781041679883515,68.9919239415668,30,58,cross_entropy_loss,796.3575773888027,20.663568990723046,0.8350515463917526,0.014579521261578295,0.8194469223907227,0.018981512315832845,0.8346318156622324,0.014842278413394451,0.8350515463917526,0.014579521261578295,0.8334418766690967,0.015457891164262853
CandNC-ALL,E_MLP-IR_CNN-1D_SNV,True,Bahdanau,True,None,0.03781041679883515,68.9919239415668,30,58,cross_entropy_loss,759.1200010319345,20.94151208661422,0.8556701030927837,0.014579521261578295,0.8504460303300625,0.020667430328632583,0.8575927494864782,0.016112631799030212,0.8556701030927837,0.014579521261578295,0.855696836086636,0.01529806940564048
CandNC-ALL,E_MLP-IR_CNN-1D_SNV,True,Bahdanau,False,None,0.03781041679883515,68.9919239415668,30,58,focal_loss,74.20497158089863,2.659869866269309,0.8061855670103093,0.015151482945050586,0.7872881355932203,0.02105499389519171,0.8051212263958856,0.015199518125372884,0.8061855670103093,0.015151482945050586,0.8037308137759996,0.01681627511578249
CandNC-ALL,E_MLP-IR_CNN-1D_SNV,True,Bahdanau,True,None,0.03781041679883515,68.9919239415668,30,58,focal_loss,72.64627468463073,2.009072416779022,0.8371134020618556,0.012022581226485158,0.8286351471900089,0.013431068641627882,0.8377418207015813,0.012239872535952361,0.8371134020618556,0.012022581226485158,0.8369344741380319,0.012012836440777257
CandNC-ALL,E_MLP-IR_CNN-1D_SNV,True,Bahdanau,False,None,0.03781041679883515,68.9919239415668,30,58,adaptative_focal_loss,84.14910725859023,6.948940075834469,0.8391752577319588,0.00824742268041238,0.8303300624442462,0.012666319021122592,0.8392647004039867,0.009160168926110745,0.8391752577319588,0.00824742268041238,0.838924630825107,0.008988164465225297
CandNC-ALL,E_MLP-IR_CNN-1D_SNV,True,Bahdanau,True,None,0.03781041679883515,68.9919239415668,30,58,adaptative_focal_loss,85.10718480532931,4.428233414139298,0.8515463917525775,0.012371134020618565,0.8461195361284568,0.013358589769734116,0.8525875914934394,0.012522447764492628,0.8515463917525775,0.012371134020618565,0.851770614065462,0.012308806679835898
