Fold,Dataset,_gamma_2,_gamma_3,_batch_size,_latent_dims,Model,Attention,Attention_Method,Incerteza,Sampling Mode,Loss Function,Test - loss,Test - Accuracy Score,Test - Balanced Accuracy Score,Test - Precision Score,Test - Recall Score,Test - F1 Score
0,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,False,Luong,False,None,cross_entropy_loss,777.0155815832394,0.8247422680412371,0.8090990187332738,0.8247422680412371,0.8235450615231128,0.8233136982799973
1,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,False,Luong,False,None,cross_entropy_loss,783.1304941079052,0.8350515463917526,0.8269402319357717,0.8350515463917526,0.8350515463917526,0.8350515463917526
2,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,False,Luong,False,None,cross_entropy_loss,821.948645522914,0.8041237113402062,0.778099910793934,0.8041237113402062,0.8043706099908294,0.7996724936500821
3,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,False,Luong,False,None,cross_entropy_loss,819.2312018011035,0.7938144329896907,0.7743086529884032,0.7938144329896907,0.7919662710445002,0.7914671473907573
4,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,False,Luong,False,None,cross_entropy_loss,786.9444328386759,0.845360824742268,0.821364852809991,0.845360824742268,0.8480767098991243,0.8418467055132228
0,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,False,Luong,False,None,focal_loss,70.85016148360734,0.8350515463917526,0.8269402319357717,0.8350515463917526,0.8350515463917526,0.8350515463917526
1,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,False,Luong,False,None,focal_loss,71.03664701009534,0.8350515463917526,0.822256913470116,0.8350515463917526,0.834084464724992,0.8341970836816196
2,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,False,Luong,False,None,focal_loss,75.25610489206215,0.8144329896907216,0.7959411239964318,0.8144329896907216,0.813143126666474,0.8123204326516815
3,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,False,Luong,False,None,focal_loss,69.44193200966747,0.845360824742268,0.8354148082069581,0.845360824742268,0.8447849911767438,0.8449796413410726
4,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,False,Luong,False,None,focal_loss,72.34748608304054,0.8144329896907216,0.7959411239964318,0.8144329896907216,0.813143126666474,0.8123204326516815
0,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,False,Luong,False,None,adaptative_focal_loss,80.6751571733927,0.8350515463917526,0.8269402319357717,0.8350515463917526,0.8350515463917526,0.8350515463917526
1,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,False,Luong,False,None,adaptative_focal_loss,79.13851110713998,0.8247422680412371,0.8137823371989296,0.8247422680412371,0.8240596266369462,0.8243102601865488
2,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,False,Luong,False,None,adaptative_focal_loss,89.00677561022572,0.8350515463917526,0.8175735950044603,0.8350515463917526,0.8343199822884481,0.833173717912606
3,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,False,Luong,False,None,adaptative_focal_loss,81.15940644569004,0.845360824742268,0.8400981266726137,0.845360824742268,0.8462313252572762,0.8457041240546396
4,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,False,Luong,False,None,adaptative_focal_loss,77.2975512239122,0.865979381443299,0.8617305976806422,0.865979381443299,0.8667632876662382,0.866276907514021
0,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,False,Luong,True,None,cross_entropy_loss,827.3467841394169,0.845360824742268,0.8494647636039251,0.845360824742268,0.8525755436568192,0.8467124181018898
1,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,False,Luong,True,None,cross_entropy_loss,781.0006584875363,0.865979381443299,0.866413916146298,0.865979381443299,0.8692526671216638,0.8667759817076977
2,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,False,Luong,True,None,cross_entropy_loss,765.3762892890222,0.8247422680412371,0.8090990187332738,0.8247422680412371,0.8235450615231128,0.8233136982799973
3,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,False,Luong,True,None,cross_entropy_loss,772.2532669539304,0.8350515463917526,0.822256913470116,0.8350515463917526,0.834084464724992,0.8341970836816196
4,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,False,Luong,True,None,cross_entropy_loss,762.2483614892075,0.8247422680412371,0.8044157002676182,0.8247422680412371,0.82422973289597,0.8221333701648328
0,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,False,Luong,True,None,focal_loss,76.20737646043915,0.8247422680412371,0.8137823371989296,0.8247422680412371,0.8240596266369462,0.8243102601865488
1,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,False,Luong,True,None,focal_loss,68.77445291735462,0.8350515463917526,0.8269402319357717,0.8350515463917526,0.8350515463917526,0.8350515463917526
2,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,False,Luong,True,None,focal_loss,75.54040499815007,0.8041237113402062,0.7874665477252454,0.8041237113402062,0.8025416884412562,0.8025270745482322
3,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,False,Luong,True,None,focal_loss,71.68536251107442,0.8350515463917526,0.8128902765388046,0.8350515463917526,0.8358544805709754,0.831973015345147
4,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,False,Luong,True,None,focal_loss,71.42909264318722,0.8041237113402062,0.792149866190901,0.8041237113402062,0.8033342620971488,0.8036408790320253
0,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,False,Luong,True,None,adaptative_focal_loss,77.44591211535267,0.8762886597938144,0.8748884924174845,0.8762886597938144,0.8780882618918429,0.8768082255462276
1,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,False,Luong,True,None,adaptative_focal_loss,82.15125986472847,0.845360824742268,0.8447814451382694,0.845360824742268,0.8488361650921369,0.8462799788934973
2,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,False,Luong,True,None,adaptative_focal_loss,93.26177695362838,0.845360824742268,0.8354148082069581,0.845360824742268,0.8447849911767438,0.8449796413410726
3,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,False,Luong,True,None,adaptative_focal_loss,86.67121002354573,0.845360824742268,0.8400981266726137,0.845360824742268,0.8462313252572762,0.8457041240546396
4,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,False,Luong,True,None,adaptative_focal_loss,77.241464555878,0.8556701030927835,0.8532560214094558,0.8556701030927835,0.8576234400434075,0.8562762631372657
0,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,True,Luong,True,None,cross_entropy_loss,784.9103764799453,0.8144329896907216,0.805307760927743,0.8144329896907216,0.8144329896907216,0.8144329896907216
1,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,True,Luong,True,None,cross_entropy_loss,802.5369995746416,0.8041237113402062,0.7874665477252454,0.8041237113402062,0.8025416884412562,0.8025270745482322
2,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,True,Luong,True,None,cross_entropy_loss,852.9009003000161,0.7938144329896907,0.7649420160570919,0.7938144329896907,0.7945530081551007,0.7882314437802611
3,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,True,Luong,True,None,cross_entropy_loss,790.8460885274042,0.8247422680412371,0.8090990187332738,0.8247422680412371,0.8235450615231128,0.8233136982799973
4,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,True,Luong,True,None,cross_entropy_loss,831.1484894113443,0.8247422680412371,0.8044157002676182,0.8247422680412371,0.82422973289597,0.8221333701648328
0,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,True,Luong,True,None,focal_loss,81.30289211469827,0.8247422680412371,0.8090990187332738,0.8247422680412371,0.8235450615231128,0.8233136982799973
1,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,True,Luong,True,None,focal_loss,73.94917092864047,0.8247422680412371,0.8090990187332738,0.8247422680412371,0.8235450615231128,0.8233136982799973
2,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,True,Luong,True,None,focal_loss,78.30404517576866,0.7938144329896907,0.7743086529884032,0.7938144329896907,0.7919662710445002,0.7914671473907573
3,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,True,Luong,True,None,focal_loss,73.93981406614952,0.8247422680412371,0.8184656556645852,0.8247422680412371,0.825699362848314,0.8251313405952581
4,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,True,Luong,True,None,focal_loss,70.57934267496326,0.8247422680412371,0.8090990187332738,0.8247422680412371,0.8235450615231128,0.8233136982799973
0,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,True,Luong,True,None,adaptative_focal_loss,92.78229853049996,0.845360824742268,0.8354148082069581,0.845360824742268,0.8447849911767438,0.8449796413410726
1,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,True,Luong,True,None,adaptative_focal_loss,86.77745913476059,0.845360824742268,0.8354148082069581,0.845360824742268,0.8447849911767438,0.8449796413410726
2,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,True,Luong,True,None,adaptative_focal_loss,88.15198835392589,0.8350515463917526,0.8128902765388046,0.8350515463917526,0.8358544805709754,0.831973015345147
3,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,True,Luong,True,None,adaptative_focal_loss,84.0974603240023,0.8556701030927835,0.8485727029438002,0.8556701030927835,0.8556701030927835,0.8556701030927835
4,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,True,Luong,True,None,adaptative_focal_loss,108.52233819863231,0.8350515463917526,0.8175735950044603,0.8350515463917526,0.8343199822884481,0.833173717912606
0,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,True,Bahdanau,True,None,cross_entropy_loss,730.1062137564433,0.865979381443299,0.8570472792149866,0.865979381443299,0.8655103557165413,0.8656490224955962
1,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,True,Bahdanau,True,None,cross_entropy_loss,773.1951772158908,0.8556701030927835,0.8579393398751115,0.8556701030927835,0.8607577989021288,0.8567462470609513
2,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,True,Bahdanau,True,None,cross_entropy_loss,766.1830189498429,0.8350515463917526,0.8175735950044603,0.8350515463917526,0.8343199822884481,0.833173717912606
3,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,True,Bahdanau,True,None,cross_entropy_loss,786.2086669292646,0.845360824742268,0.8400981266726137,0.845360824742268,0.8462313252572762,0.8457041240546396
4,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,True,Bahdanau,True,None,cross_entropy_loss,739.9069283082313,0.8762886597938144,0.8795718108831401,0.8762886597938144,0.8811442852679967,0.8772110689093869
0,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,True,Bahdanau,True,None,focal_loss,73.190221176934,0.8556701030927835,0.8485727029438002,0.8556701030927835,0.8556701030927835,0.8556701030927835
1,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,True,Bahdanau,True,None,focal_loss,70.19617064957767,0.8350515463917526,0.8363068688670829,0.8350515463917526,0.840371312536261,0.8362814252125158
2,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,True,Bahdanau,True,None,focal_loss,76.0505024624854,0.8247422680412371,0.8137823371989296,0.8247422680412371,0.8240596266369462,0.8243102601865488
3,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,True,Bahdanau,True,None,focal_loss,72.6627780481712,0.8247422680412371,0.8137823371989296,0.8247422680412371,0.8240596266369462,0.8243102601865488
4,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,True,Bahdanau,True,None,focal_loss,71.13170108598533,0.845360824742268,0.8307314897413025,0.845360824742268,0.8445484346049694,0.8441003220117624
0,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,True,Bahdanau,True,None,adaptative_focal_loss,81.27193081256041,0.865979381443299,0.8570472792149866,0.865979381443299,0.8655103557165413,0.8656490224955962
1,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,True,Bahdanau,True,None,adaptative_focal_loss,83.32304335132088,0.8350515463917526,0.8316235504014273,0.8350515463917526,0.837158618194972,0.8357443007283035
2,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,True,Bahdanau,True,None,adaptative_focal_loss,92.55608226343529,0.845360824742268,0.8400981266726137,0.845360824742268,0.8462313252572762,0.8457041240546396
3,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,True,Bahdanau,True,None,adaptative_focal_loss,80.80168832208692,0.845360824742268,0.8354148082069581,0.845360824742268,0.8447849911767438,0.8449796413410726
4,CandNC-ALL,0.03781041679883515,68.9919239415668,30,58,E_MLP-IR_CNN-1D_SNV,True,Bahdanau,True,None,adaptative_focal_loss,87.58317927724308,0.865979381443299,0.866413916146298,0.865979381443299,0.8692526671216638,0.8667759817076977
